User_ID,Rating,Movie_ID
712664,5,1
1331154,4,2
2632461,3,5
44937,5,4
656399,4,1
439011,1,2
1644750,3,5
2031561,4,5
616720,4,4
2467008,4,5
701730,2,4
1614320,4,5
115498,3,4
931626,2,5
699878,4,4
1694958,3,5
66414,5,4
2519847,5,5
948069,3,4
67315,4,5
704249,4,4
454417,4,5
2158448,5,4
574843,5,5
714960,4,4
620771,2,5
253876,4,4
1632700,4,1
603277,3,5
79160,4,2
1859725,4,4
283774,5,4
2267507,4,5
2424721,3,4
1275804,4,5
1204327,4,4
2143489,1,5
672980,5,4
2537764,5,5
1650301,2,4
553931,4,5
214166,3,4
6689,4,5
109089,5,4
1854303,1,5
2312349,4,3
2213550,4,3
24344,4,3
2344483,4,3
531155,4,3
1959707,3,3
1977959,4,3
21983,4,3
2173816,1,3
78931,5,3
2145227,4,3
1286051,3,3
958104,4,3
489962,3,3
2297863,4,3
958382,4,3
248932,4,3
1756658,3,3
2579794,4,3
1628475,4,3
206809,5,3
1333,4,3
2079559,5,3
1007809,4,3
1477923,4,3
44783,3,3
52540,1,3
2436327,2,3
1830211,4,3
1857979,2,3
1198785,2,3
870391,2,3
2164676,4,3
2646060,3,3
709342,4,1
1319527,5,2
1478381,4,3
1658752,3,4
41371,5,3
2266857,3,3
1456369,4,3
1078792,4,3
104768,5,3
372528,3,3
1401399,4,3
402377,4,3
2229289,4,3
2554745,4,3
1710932,3,3
1355097,4,3
153249,4,3
2590630,3,3
2596383,3,3
2601294,4,3
2623268,4,3
1756597,5,3
1673185,3,3
2611525,3,3
2013198,4,3
1704175,4,3
2186436,2,3
2252223,5,3
203667,5,3
2338873,5,1
479779,4,2
719833,4,3
871489,5,4
1057518,4,3
257517,4,3
2003554,4,3
2213289,5,3
2630072,3,4
1142291,4,3
1733188,4,6
1614895,4,3
1947922,2,3
1036823,3,2
786312,3,6
1197233,2,3
1100037,3,3
1130826,3,3
620147,5,3
1221390,4,1
357507,3,3
976059,3,3
820624,4,4
924839,5,3
966255,4,3
375319,4,3
309333,4,4
1599030,5,3
2443370,4,3
871580,3,3
311641,1,3
532382,4,3
2378011,5,3
1248452,3,3
1863843,2,3
1915354,4,3
1100170,4,3
1733406,4,2
755319,3,3
1743030,3,3
2096587,5,3
345869,4,3
1544094,5,3
1022903,4,3
290951,4,2
1737484,4,2
183215,4,2
1033433,2,2
1213801,3,2
1045221,1,2
253037,3,2
341954,2,2
1115632,3,2
2103655,3,2
979820,1,2
514312,3,2
2025577,3,2
1589677,4,2
425033,3,2
2352327,4,2
156078,5,2
851855,4,2
1278394,4,2
962955,2,2
1087412,4,2
1586499,3,2
917063,4,2
1023101,3,2
2393306,4,2
788774,4,2
2586963,4,2
244266,3,2
2622138,1,2
793228,4,2
1283965,4,2
2135038,4,2
722006,4,2
1511683,1,2
1763372,3,2
1834472,3,2
515850,5,2
386510,5,2
1607574,4,2
1594095,4,2
1124822,4,2
544022,3,2
1817216,2,2
569099,3,2
604949,4,2
790920,3,2
2554707,4,2
376148,5,2
1689439,5,2
2485566,5,2
2232958,4,2
2267858,3,2
1956967,4,2
2494005,2,2
323148,3,2
2152838,5,2
1407746,3,2
871548,5,2
1969676,5,2
1927329,5,2
199769,4,2
162854,4,2
215406,5,2
2095263,4,2
556045,5,2
817851,4,2
2491399,2,2
1134816,4,2
660454,4,2
581199,4,2
1929487,3,2
528384,5,2
2646115,3,2
727242,1,2
883478,1,2
247940,4,2
478176,4,2
1369550,3,2
282525,4,2
2085230,4,2
532649,3,2
1053903,2,2
1521266,3,2
2303969,4,2
2551806,5,2
1749903,4,2
2549926,5,2
781779,3,2
22853,4,2
1788346,1,2
1858421,4,2
354704,3,2
841137,5,2
475797,4,2
1876156,3,2
769670,4,2
1272379,1,2
2170930,1,2
788185,3,2
109124,4,2
113694,4,2
32555,2,2
2618956,4,2
1871063,2,2
2437901,3,2
1314869,2,2
1370323,4,2
1618217,5,2
1547807,3,2
968759,3,2
2299121,1,2
477486,3,2
1307784,4,2
1234622,4,2
164845,1,2
2178924,4,2
1022046,5,2
962342,4,2
636262,1,2
334051,4,2
665242,2,2
701615,3,2
1304280,4,1
2237185,4,1
2175436,3,1
1926750,5,1
2128386,4,1
179647,5,1
1029943,3,1
786695,4,1
1532433,4,1
2316025,3,1
2506266,5,1
1928584,4,1
1055670,2,1
1740800,5,1
254887,4,1
187322,4,1
2361606,5,1
118694,3,1
1878820,3,1
2391686,3,1
126899,3,1
2269450,3,1
2130480,5,1
1819462,1,1
1130533,3,1
178511,2,1
1649641,3,1
1630448,2,1
2439493,1,1
2160278,3,1
1025764,3,1
964865,4,1
294943,4,1
1697078,2,1
2031917,3,1
1068821,4,1
120004,3,1
1367949,2,1
1205848,4,6
1386457,3,6
1252571,3,6
137360,2,6
1204833,5,6
504593,4,6
388752,4,6
2601604,4,6
2609783,4,6
478484,4,6
253394,5,6
2040306,4,6
2040110,3,6
2052691,3,6
187834,3,6
2526250,3,6
1998346,4,6
328674,3,6
2159701,4,6
1241521,3,6
1616563,4,6
1095071,4,6
1806991,5,6
169126,5,6
1386030,4,6
238740,3,6
2083665,2,6
2491723,4,6
1045551,3,6
965528,4,6
593454,4,6
2291427,3,6
1182116,3,6
2245500,2,6
677213,4,6
1927891,4,6
1163795,4,6
828724,4,6
704538,4,6
1873379,4,6
277990,4,6
1052493,4,6
1945838,4,6
1770331,5,6
2584024,3,6
2419782,3,6
2068749,3,6
2331444,3,6
1150223,5,6
1646880,4,6
1506586,3,6
2267950,4,6
1188701,4,6
2531820,4,6
1848973,5,6
1024854,3,6
50123,3,6
631945,4,6
1122977,3,6
1486636,3,6
630174,4,6
2070019,4,6
1146281,4,7
1136807,4,7
1931131,5,7
2043472,4,7
1276114,3,7
1046918,5,7
2091987,2,7
2523426,5,7
1149883,4,7
908840,5,7
61765,4,7
565510,3,7
2592894,4,7
1528420,4,7
563607,4,7
1598429,2,7
593167,3,7
2264426,5,7
2427632,3,7
698713,4,7
510719,4,7
521461,3,7
2455107,3,7
728801,4,7
2138332,4,7
1963179,3,7
1057394,3,7
1741962,3,7
2415330,4,7
2429036,4,7
2385738,3,7
275639,4,7
1177340,4,7
1412189,5,7
799974,4,7
640743,3,7
126083,3,7
755976,4,7
207781,4,7
1252629,4,7
1551753,3,7
380673,3,7
2552842,4,7
783779,4,7
2201544,4,7
1449353,3,7
2258411,3,7
1797618,4,7
1489854,4,7
204178,4,7
2569181,4,7
1248503,4,7
2630979,4,7
2412908,2,7
952156,5,7
2282361,5,7
1698103,4,7
1903324,1,7
1387650,3,7
2322625,4,7
1542242,4,7
572124,4,7
2607695,4,7
2331728,3,7
222897,4,7
2159596,5,7
1270144,4,8
1012590,2,8
410618,2,8
1590745,3,8
1871017,5,8
818752,4,8
28995,4,8
1517590,4,8
1416480,3,8
2600868,3,8
650828,3,8
776473,4,8
1531396,4,8
2415196,3,8
2197203,4,8
2369629,4,8
1404157,1,8
1427751,3,8
780687,4,8
306622,5,8
1312336,4,8
975911,4,8
132691,4,8
493009,3,8
766872,5,8
1265961,4,8
2457095,1,8
1791461,4,8
2353520,4,8
277837,2,8
2573212,3,8
1460897,4,8
1828803,3,8
133322,4,8
596255,1,8
170874,4,8
2370423,4,8
1218004,4,8
2596745,4,8
745661,2,8
2235676,4,8
1446775,4,8
2141037,5,8
660962,4,8
1982434,3,8
2421781,3,8
1105029,3,8
1611056,3,8
789530,5,8
1742530,4,8
1437916,4,8
226609,5,8
2261864,4,8
1868998,5,8
2538387,3,8
1114552,3,8
253900,5,8
1816177,5,8
2427438,4,8
163515,4,5
974525,3,5
1787324,5,5
1764923,4,5
1215094,4,5
2589029,3,5
344444,3,5
1301832,4,5
87664,3,5
1426472,4,5
1614939,3,5
2369855,4,5
522534,2,5
1262754,4,5
761585,4,5
1560333,4,5
1204995,3,5
364140,4,5
494633,4,5
1500112,4,5
1599561,4,5
1316434,4,5
1171843,5,5
234141,2,5
1668888,5,5
968745,3,5
1392235,4,5
745706,3,5
1674012,3,5
1076614,3,5
749164,4,5
2616210,2,5
307313,5,5
2496050,4,5
299857,3,5
919805,4,5
2053378,3,5
1774181,4,5
1533440,4,5
237824,3,5
1080789,3,5
2604320,5,5
81036,4,5
2163577,3,5
936199,3,5
747695,4,5
787391,4,5
2578149,3,5
2629551,5,5
313158,5,5
2641668,4,5
1917839,3,5
504296,3,5
2431172,5,5
1994646,4,5
173571,5,5
1080008,3,5
1085488,4,5
1731912,4,5
1527679,4,5
2311464,3,5
1394194,3,5
2430230,5,5
1529214,3,5
1031887,4,5
2354593,2,5
341649,3,5
595870,1,5
618288,5,5
592281,3,5
1174779,4,5
1813526,5,5
502145,4,5
1578883,5,5
1722588,5,5
2335640,3,5
1214640,3,5
1566551,4,5
718211,4,5
1139969,3,5
2464102,5,5
1800842,5,5
1321352,4,5
1591987,3,5
1830000,5,5
106442,2,5
285765,4,5
235124,4,5
2012052,5,5
2552319,3,5
2235548,2,5
634604,5,5
820357,5,5
657582,4,5
2334738,5,5
1053090,4,5
1606520,3,5
303270,2,5
470596,3,5
1969536,5,5
2588486,3,5
214262,3,5
701692,3,5
2054241,4,5
1973244,4,5
659526,4,5
842962,4,5
2243988,4,5
1255155,4,5
2359486,4,5
1767741,4,5
1650580,4,5
382660,4,5
1364733,5,5
2118126,2,5
1799047,3,5
895914,3,5
1241999,4,5
1209934,4,5
945888,4,5
1007254,4,5
336842,4,5
1948594,4,5
1982967,2,5
2510089,4,5
957941,3,5
1444657,4,5
213486,4,5
969759,5,5
2078462,3,5
931055,3,5
1684416,4,5
2357357,2,5
1664010,5,5
1573289,4,5
577547,5,5
939840,3,5
601868,4,5
1434651,3,5
1096430,2,5
586741,3,5
2567000,2,5
907023,4,5
1924500,2,5
134288,3,5
2249828,3,5
2424335,3,5
1071305,4,5
556534,3,5
2180134,5,5
1361124,5,5
576990,1,5
2446163,3,5
317848,4,5
937412,5,5
1968068,4,5
395098,2,5
1523143,5,5
1872926,3,5
1524620,3,5
1207990,4,5
2007573,4,5
2363785,4,5
1582905,5,5
480206,4,5
1583947,4,5
2121501,5,5
1808876,4,5
2045112,1,5
791029,3,5
122302,5,5
1648933,4,5
517794,4,5
1598669,3,5
689205,4,5
1838839,3,5
373441,5,5
1241131,5,5
2535238,4,5
2490563,3,5
2130988,5,5
1304156,3,5
1249592,4,5
2140261,2,5
1610234,1,5
594196,5,5
853383,4,5
1730699,4,5
2456574,4,5
877394,4,5
606570,4,5
2490049,3,5
552356,3,5
127911,2,5
1419705,4,5
963611,4,5
1925002,4,5
873713,1,5
1645664,1,5
2318004,4,5
1107183,5,5
2296192,4,5
734381,5,5
25049,4,5
360757,3,5
580784,3,5
286684,3,5
273641,3,5
2318471,3,5
400785,3,5
1071088,4,5
1887644,4,5
1825647,4,5
2028133,4,5
1982293,5,5
818615,4,5
2142951,4,5
1848868,4,5
2573391,3,5
1309777,4,5
40112,4,5
1627242,4,5
500866,4,5
271028,4,5
675111,3,5
177615,4,5
2387369,4,5
2212303,3,5
1897386,3,5
396140,4,5
1822608,3,5
1190391,5,5
966716,5,5
1901682,4,5
289419,5,5
1508115,4,5
1300105,3,5
2638972,4,5
565401,5,5
950631,3,5
250597,4,5
238130,3,5
318409,2,5
1998128,4,5
1824009,5,5
2625471,4,5
2382844,5,5
2460844,3,5
2303590,3,5
771637,3,5
1196471,5,5
252818,4,5
2072907,4,5
191678,5,5
368786,3,5
1935793,1,5
14035,5,5
2509302,5,5
2393981,4,5
2506048,4,5
2253090,3,5
2440601,4,5
2219240,3,5
759509,2,5
1753949,3,5
2616793,5,5
1279413,5,5
1961586,4,5
780253,2,5
2113709,4,5
66852,3,5
707012,5,5
1940324,4,5
916101,2,5
377975,3,5
2620317,4,5
1204665,4,5
1255507,4,5
332805,4,5
1739440,4,5
1431663,4,5
1708442,4,5
1011106,4,5
1904916,4,5
1663717,3,5
168939,5,5
1001461,3,5
693162,3,5
2306557,4,5
1425295,3,5
2171387,5,5
2541854,5,5
797889,4,5
1168312,4,5
679042,4,5
2349577,4,5
854949,4,5
2291306,2,5
282736,4,5
2498387,3,5
244062,3,5
1788839,4,5
2470497,4,5
2001318,4,5
340279,4,5
1672270,3,5
300962,5,5
1717162,2,5
902495,5,5
824980,2,5
531125,1,5
423402,3,5
939439,4,5
2216837,4,5
195008,4,5
1477176,3,5
2550711,3,5
673040,3,5
653682,3,5
458859,4,5
1765372,4,5
171881,5,5
513050,3,5
718564,3,5
565962,5,5
1746477,4,5
1967585,3,5
1432546,4,5
1972244,3,5
1912781,5,5
815695,4,5
320972,5,5
1662883,3,5
1269998,3,5
2253583,3,5
1113667,4,5
513930,3,5
1055669,5,5
382405,4,5
1424177,5,5
1341822,3,5
186973,5,5
1377693,5,5
465276,5,5
1233239,5,5
450285,4,5
2567571,1,5
323983,4,5
2176634,4,5
2002948,3,5
1448818,3,5
273047,2,5
1560653,4,5
1240730,4,5
2331421,4,5
1317671,3,5
356515,3,5
1907559,3,5
2133574,3,5
1264021,4,5
831364,5,5
1254363,4,5
384821,4,5
2625327,3,5
821727,4,5
1591925,4,5
442911,3,5
2153128,3,5
2131774,2,5
1139925,5,5
91245,4,5
2089599,1,5
752702,1,5
86901,4,5
588344,5,5
1641505,4,5
1822357,3,5
1520904,4,5
2615224,3,5
2203182,3,5
1235651,2,5
2444204,4,5
254222,3,5
406219,3,5
1389295,4,5
2384389,4,5
1167852,5,5
2606799,2,5
1993442,5,5
1404431,3,5
407675,3,5
117878,4,5
723983,3,5
2296114,4,5
1984315,3,5
152441,4,5
2241241,3,5
1382951,4,5
401178,4,5
2307036,3,5
1147677,3,5
957368,4,5
1432211,3,5
966771,4,5
664705,5,5
341587,4,5
611883,4,5
1996328,5,5
1925306,4,5
896636,4,5
2213342,4,5
78684,3,5
2127544,4,5
759737,1,5
2635895,5,5
1955713,4,5
885932,4,5
1230729,4,5
404170,4,5
375046,1,5
184273,4,5
491513,4,5
414236,4,5
504624,4,5
789014,1,5
1685083,5,5
1353746,4,5
1964351,3,5
798296,4,5
586421,4,5
682963,3,5
1086213,4,5
545026,4,5
37939,2,5
1932915,3,5
1373119,4,5
2423552,3,5
16272,4,5
2194081,4,5
1880039,3,5
38129,5,5
114072,5,5
1235873,2,5
60973,4,5
762240,4,5
641785,3,5
573995,4,5
1506872,3,5
2561674,1,5
1082332,3,5
738379,4,5
308307,5,5
1999678,5,5
1889913,5,5
2391281,3,5
1687564,4,5
2266937,3,5
683123,3,5
1662118,2,5
959486,5,5
766450,3,5
971925,5,5
531396,3,5
2465085,4,5
393945,2,5
2385435,5,5
983123,5,5
819822,2,5
1835786,4,5
2458504,4,5
1698999,4,5
557801,3,5
2390623,3,5
561184,3,5
2603174,3,5
1691501,4,5
589596,4,5
358117,4,5
2032635,4,5
259796,3,5
1627955,2,5
545639,4,5
1948576,4,5
2043149,4,5
1462330,4,5
4783,4,5
83278,4,5
2164873,4,5
216174,3,5
1854660,1,5
466257,4,5
720145,3,5
319229,3,5
305344,2,5
2334574,1,5
560851,4,5
198000,4,5
983558,4,5
1459464,4,5
635285,3,5